,count,mean,std,min,25%,50%,75%,max
constellationType6-svid10-carrierFrequencyHz,204156.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid26-azimuthDegrees,157872.0,231.92936049457788,109.2358524004524,0.0,209.0,226.0,333.0,359.0
constellationType6-svid26-elevationDegrees,157872.0,43.28388821323604,26.8056468057331,0.0,11.0,50.0,67.0,78.0
constellationType6-svid26-cn0DbHz,157872.0,26.75783545220407,15.5608159496974,0.0,20.700000762939453,34.70000076293945,37.29999923706055,46.400001525878906
constellationType6-svid26-basebandCn0DbHz,157872.0,24.092974040474925,14.130507789830572,0.0,17.200000762939453,31.200000762939453,33.79999923706055,42.900001525878906
constellationType6-svid26-carrierFrequencyHz,157872.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid11-azimuthDegrees,171816.0,261.9482586022256,50.03635276090335,216.0,220.0,234.0,327.0,351.0
constellationType6-svid11-elevationDegrees,171816.0,28.04545560366904,20.61209876075413,1.0,10.0,24.0,49.0,60.0
constellationType6-svid11-cn0DbHz,171816.0,2.7067735245780984,8.189087294775783,0.0,0.0,0.0,0.0,38.0
constellationType6-svid11-basebandCn0DbHz,171816.0,2.3503282583891614,7.1528862709555785,0.0,0.0,0.0,0.0,34.5
constellationType6-svid11-carrierFrequencyHz,171816.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
